Number,Character,Tier
1,一,1
2,乙,1
3,二,1
4,十,1
5,丁,1
6,厂,1
7,七,1
8,卜,1
9,八,1
10,人,1
11,入,1
12,儿,1
13,匕,1
14,几,1
15,九,1
16,刁,1
17,了,1
18,刀,1
19,力,1
20,乃,1
21,又,1
22,三,1
23,干,1
24,于,1
25,亏,1
26,工,1
27,土,1
28,士,1
29,才,1
30,下,1
31,寸,1
32,大,1
33,丈,1
34,与,1
35,万,1
36,上,1
37,小,1
38,口,1
39,山,1
40,巾,1
41,千,1
42,乞,1
43,川,1
44,亿,1
45,个,1
46,夕,1
47,久,1
48,么,1
49,勺,1
50,凡,1
51,丸,1
52,及,1
53,广,1
54,亡,1
55,门,1
56,丫,1
57,义,1
58,之,1
59,尸,1
60,己,1
61,已,1
62,巳,1
63,弓,1
64,子,1
65,卫,1
66,也,1
67,女,1
68,刃,1
69,飞,1
70,习,1
71,叉,1
72,马,1
73,乡,1
74,丰,1
75,王,1
76,开,1
77,井,1
78,天,1
79,夫,1
80,元,1
81,无,1
82,云,1
83,专,1
84,丐,1
85,扎,1
86,艺,1
87,木,1
88,五,1
89,支,1
90,厅,1
91,不,1
92,犬,1
93,太,1
94,区,1
95,历,1
96,歹,1
97,友,1
98,尤,1
99,匹,1
100,车,1
101,巨,1
102,牙,1
103,屯,1
104,戈,1
105,比,1
106,互,1
107,切,1
108,瓦,1
109,止,1
110,少,1
111,曰,1
112,日,1
113,中,1
114,贝,1
115,冈,1
116,内,1
117,水,1
118,见,1
119,午,1
120,牛,1
121,手,1
122,气,1
123,毛,1
124,壬,1
125,升,1
126,夭,1
127,长,1
128,仁,1
129,什,1
130,片,1
131,仆,1
132,化,1
133,仇,1
134,币,1
135,仍,1
136,仅,1
137,斤,1
138,爪,1
139,反,1
140,介,1
141,父,1
142,从,1
143,仑,1
144,今,1
145,凶,1
146,分,1
147,乏,1
148,公,1
149,仓,1
150,月,1
151,氏,1
152,勿,1
153,欠,1
154,风,1
155,丹,1
156,匀,1
157,乌,1
158,勾,1
159,凤,1
160,六,1
161,文,1
162,亢,1
163,方,1
164,火,1
165,为,1
166,斗,1
167,忆,1
168,计,1
169,订,1
170,户,1
171,认,1
172,冗,1
173,讥,1
174,心,1
175,尺,1
176,引,1
177,丑,1
178,巴,1
179,孔,1
180,队,1
181,办,1
182,以,1
183,允,1
184,予,1
185,邓,1
186,劝,1
187,双,1
188,书,1
189,幻,1
190,玉,1
191,刊,1
192,未,1
193,末,1
194,示,1
195,击,1
196,打,1
197,巧,1
198,正,1
199,扑,1
200,卉,1
201,扒,1
202,功,1
203,扔,1
204,去,1
205,甘,1
206,世,1
207,艾,1
208,古,1
209,节,1
210,本,1
211,术,1
212,可,1
213,丙,1
214,左,1
215,厉,1
216,石,1
217,右,1
218,布,1
219,夯,1
220,戊,1
221,龙,1
222,平,1
223,灭,1
224,轧,1
225,东,1
226,卡,1
227,北,1
228,占,1
229,凸,1
230,卢,1
231,业,1
232,旧,1
233,帅,1
234,归,1
235,旦,1
236,目,1
237,且,1
238,叶,1
239,甲,1
240,申,1
241,叮,1
242,电,1
243,号,1
244,田,1
245,由,1
246,只,1
247,叭,1
248,史,1
249,央,1
250,兄,1
251,叽,1
252,叼,1
253,叫,1
254,叩,1
255,叨,1
256,另,1
257,叹,1
258,冉,1
259,皿,1
260,凹,1
261,囚,1
262,四,1
263,生,1
264,矢,1
265,失,1
266,乍,1
267,禾,1
268,丘,1
269,付,1
270,仗,1
271,代,1
272,仙,1
273,们,1
274,仪,1
275,白,1
276,仔,1
277,他,1
278,斥,1
279,瓜,1
280,乎,1
281,丛,1
282,令,1
283,用,1
284,甩,1
285,印,1
286,尔,1
287,乐,1
288,句,1
289,匆,1
290,册,1
291,卯,1
292,犯,1
293,外,1
294,处,1
295,冬,1
296,鸟,1
297,务,1
298,包,1
299,饥,1
300,主,1
301,市,1
302,立,1
303,冯,1
304,玄,1
305,闪,1
306,兰,1
307,半,1
308,汁,1
309,汇,1
310,头,1
311,汉,1
312,宁,1
313,穴,1
314,它,1
315,讨,1
316,写,1
317,让,1
318,礼,1
319,训,1
320,议,1
321,必,1
322,讯,1
323,记,1
324,永,1
325,司,1
326,尼,1
327,民,1
328,弗,1
329,弘,1
330,出,1
331,辽,1
332,奶,1
333,奴,1
334,召,1
335,加,1
336,皮,1
337,边,1
338,孕,1
339,发,1
340,圣,1
341,对,1
342,台,1
343,矛,1
344,纠,1
345,母,1
346,幼,1
347,丝,1
348,邦,1
349,式,1
350,迂,1
351,刑,1
352,戎,1
353,动,1
354,扛,1
355,寺,1
356,吉,1
357,扣,1
358,考,1
359,托,1
360,老,1
361,巩,1
362,圾,1
363,执,1
364,扩,1
365,扫,1
366,地,1
367,场,1
368,扬,1
369,耳,1
370,芋,1
371,共,1
372,芒,1
373,亚,1
374,芝,1
375,朽,1
376,朴,1
377,机,1
378,权,1
379,过,1
380,臣,1
381,吏,1
382,再,1
383,协,1
384,西,1
385,压,1
386,厌,1
387,戌,1
388,在,1
389,百,1
390,有,1
391,存,1
392,而,1
393,页,1
394,匠,1
395,夸,1
396,夺,1
397,灰,1
398,达,1
399,列,1
400,死,1
401,成,1
402,夹,1
403,夷,1
404,轨,1
405,邪,1
406,尧,1
407,划,1
408,迈,1
409,毕,1
410,至,1
411,此,1
412,贞,1
413,师,1
414,尘,1
415,尖,1
416,劣,1
417,光,1
418,当,1
419,早,1
420,吁,1
421,吐,1
422,吓,1
423,虫,1
424,曲,1
425,团,1
426,吕,1
427,同,1
428,吊,1
429,吃,1
430,因,1
431,吸,1
432,吗,1
433,吆,1
434,屿,1
435,屹,1
436,岁,1
437,帆,1
438,回,1
439,岂,1
440,则,1
441,刚,1
442,网,1
443,肉,1
444,年,1
445,朱,1
446,先,1
447,丢,1
448,廷,1
449,舌,1
450,竹,1
451,迁,1
452,乔,1
453,迄,1
454,伟,1
455,传,1
456,乒,1
457,乓,1
458,休,1
459,伍,1
460,伏,1
461,优,1
462,臼,1
463,伐,1
464,延,1
465,仲,1
466,件,1
467,任,1
468,伤,1
469,价,1
470,伦,1
471,份,1
472,华,1
473,仰,1
474,仿,1
475,伙,1
476,伪,1
477,自,1
478,伊,1
479,血,1
480,向,1
481,似,1
482,后,1
483,行,1
484,舟,1
485,全,1
486,会,1
487,杀,1
488,合,1
489,兆,1
490,企,1
491,众,1
492,爷,1
493,伞,1
494,创,1
495,肌,1
496,肋,1
497,朵,1
498,杂,1
499,危,1
500,旬,1
501,旨,1
502,旭,1
503,负,1
504,匈,1
505,名,1
506,各,1
507,多,1
508,争,1
509,色,1
510,壮,1
511,冲,1
512,妆,1
513,冰,1
514,庄,1
515,庆,1
516,亦,1
517,刘,1
518,齐,1
519,交,1
520,衣,1
521,次,1
522,产,1
523,决,1
524,亥,1
525,充,1
526,妄,1
527,闭,1
528,问,1
529,闯,1
530,羊,1
531,并,1
532,关,1
533,米,1
534,灯,1
535,州,1
536,汗,1
537,污,1
538,江,1
539,汛,1
540,池,1
541,汝,1
542,汤,1
543,忙,1
544,兴,1
545,宇,1
546,守,1
547,宅,1
548,字,1
549,安,1
550,讲,1
551,讳,1
552,军,1
553,讶,1
554,许,1
555,讹,1
556,论,1
557,讼,1
558,农,1
559,讽,1
560,设,1
561,访,1
562,诀,1
563,寻,1
564,那,1
565,迅,1
566,尽,1
567,导,1
568,异,1
569,弛,1
570,孙,1
571,阵,1
572,阳,1
573,收,1
574,阶,1
575,阴,1
576,防,1
577,奸,1
578,如,1
579,妇,1
580,妃,1
581,好,1
582,她,1
583,妈,1
584,戏,1
585,羽,1
586,观,1
587,欢,1
588,买,1
589,红,1
590,驮,1
591,纤,1
592,驯,1
593,约,1
594,级,1
595,纪,1
596,驰,1
597,纫,1
598,巡,1
599,寿,1
600,弄,1
601,麦,1
602,玖,1
603,玛,1
604,形,1
605,进,1
606,戒,1
607,吞,1
608,远,1
609,违,1
610,韧,1
611,运,1
612,扶,1
613,抚,1
614,坛,1
615,技,1
616,坏,1
617,抠,1
618,扰,1
619,扼,1
620,拒,1
621,找,1
622,批,1
623,址,1
624,扯,1
625,走,1
626,抄,1
627,贡,1
628,汞,1
629,坝,1
630,攻,1
631,赤,1
632,折,1
633,抓,1
634,扳,1
635,抡,1
636,扮,1
637,抢,1
638,孝,1
639,坎,1
640,均,1
641,抑,1
642,抛,1
643,投,1
644,坟,1
645,坑,1
646,抗,1
647,坊,1
648,抖,1
649,护,1
650,壳,1
651,志,1
652,块,1
653,扭,1
654,声,1
655,把,1
656,报,1
657,拟,1
658,却,1
659,抒,1
660,劫,1
661,芙,1
662,芜,1
663,苇,1
664,芽,1
665,花,1
666,芹,1
667,芥,1
668,芬,1
669,苍,1
670,芳,1
671,严,1
672,芦,1
673,芯,1
674,劳,1
675,克,1
676,芭,1
677,苏,1
678,杆,1
679,杠,1
680,杜,1
681,材,1
682,村,1
683,杖,1
684,杏,1
685,杉,1
686,巫,1
687,极,1
688,李,1
689,杨,1
690,求,1
691,甫,1
692,匣,1
693,更,1
694,束,1
695,吾,1
696,豆,1
697,两,1
698,酉,1
699,丽,1
700,医,1
701,辰,1
702,励,1
703,否,1
