RTH #	RSH #	RTK #	TH	SH	K	H POS	RTH Keyword	RSH Keyword	RTK Keyword	RTH Read	TH Read	RTH Lesson	RSH Lesson	RTK Lesson	K and H check	SH and TH check	K and TH keywords	SH and TH keywords	K and H Visual Check	orthodox	prc_variant	jpn_variant	is_duplicate
1	1	1	一	一	一		one	one	one	yī	yī	RTH1-L01	RSH1-L01	RTK1v5-L01	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		一			FALSE
2	2	2	二	二	二		two	two	two	èr	èr	RTH1-L01	RSH1-L01	RTK1v5-L01	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		二			FALSE
3	3	3	三	三	三		three	three	three	sān	sān	RTH1-L01	RSH1-L01	RTK1v5-L01	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		三			FALSE
4	4	4	四	四	四		four	four	four	sì	sì	RTH1-L01	RSH1-L01	RTK1v5-L01	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		四			FALSE
5	5	5	五	五	五		five	five	five	wǔ	wǔ	RTH1-L01	RSH1-L01	RTK1v5-L01	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		五			FALSE
6	6	6	六	六	六		six	six	six	liù	liù	RTH1-L01	RSH1-L01	RTK1v5-L01	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		六			FALSE
7	7	7	七	七	七		seven	seven	seven	qī	qī	RTH1-L01	RSH1-L01	RTK1v5-L01	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		七			FALSE
8	8	8	八	八	八		eight	eight	eight	bā	bā	RTH1-L01	RSH1-L01	RTK1v5-L01	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		八			FALSE
9	9	9	九	九	九		nine	nine	nine	jiǔ	jiǔ	RTH1-L01	RSH1-L01	RTK1v5-L01	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		九			FALSE
10	10	10	十	十	十		ten	ten	ten	shí	shí	RTH1-L01	RSH1-L01	RTK1v5-L01	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		十			FALSE
11	11	11	口	口	口		mouth	mouth	mouth	kǒu	kǒu	RTH1-L01	RSH1-L01	RTK1v5-L01	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		口			FALSE
12	12	12	日	日	日		day	day	day	rì	rì	RTH1-L01	RSH1-L01	RTK1v5-L01	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		日			FALSE
13	13	13	月	月	月		month	month	month	yuè	yuè	RTH1-L01	RSH1-L01	RTK1v5-L01	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		月			FALSE
14	14	14	田	田	田		rice field	rice field	rice field	tián	tián	RTH1-L01	RSH1-L01	RTK1v5-L01	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		田			FALSE
15	15	15	目	目	目		eye	eye	eye	mù	mù	RTH1-L01	RSH1-L01	RTK1v5-L01	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		目			FALSE
16	16	16	古	古	古		ancient	ancient	old	gǔ	gǔ	RTH1-L02	RSH1-L02	RTK1v5-L02	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		古			FALSE
17	17	2470	胡	胡	胡		recklessly	recklessly	uncivilized	hú	hú|Hú	RTH1-L02	RSH1-L02	RTK3v2-CH02	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		胡			FALSE
18	19	17	吾	吾	吾		I (literary)	I (literary)	I	wú	wú	RTH1-L02	RSH1-L02	RTK1v5-L02	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		吾			FALSE
19	20	19	朋	朋	朋		companion	companion	companion	péng	péng	RTH1-L02	RSH1-L02	RTK1v5-L02	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		朋			FALSE
20	21	20	明	明	明		bright	bright	bright	míng	míng	RTH1-L02	RSH1-L02	RTK1v5-L02	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		明			FALSE
21	22	21	唱	唱	唱		sing	sing	chant	chàng	chàng	RTH1-L02	RSH1-L02	RTK1v5-L02	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		唱			FALSE
22	23	22	晶	晶	晶		sparkling	sparkling	sparkle	jīng	jīng	RTH1-L02	RSH1-L02	RTK1v5-L02	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		晶			FALSE
23	24	23	品	品	品		goods	goods	goods	pǐn	pǐn	RTH1-L02	RSH1-L02	RTK1v5-L02	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		品			FALSE
24	25	25	昌	昌	昌		prosperous	prosperous	prosperous	chāng	chāng	RTH1-L02	RSH1-L02	RTK1v5-L02	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		昌			FALSE
25	26	26	早	早	早		early	early	early	zǎo	zǎo	RTH1-L02	RSH1-L02	RTK1v5-L02	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		早			FALSE
26	27	27	旭	旭	旭		rising sun	rising sun	rising sun	xù	xù	RTH1-L02	RSH1-L02	RTK1v5-L02	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		旭			FALSE
27	28	28	世	世	世		generation	generation	generation	shì	shì	RTH1-L02	RSH1-L02	RTK1v5-L02	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		世			FALSE
28	29	29	胃	胃	胃		stomach	stomach	stomach	wèi	wèi	RTH1-L02	RSH1-L02	RTK1v5-L02	K = SH = TH	SH = TH	K key = TH key	SH key = TH key		胃			FALSE
29	30	30	旦	旦	旦		daybreak	daybreak	nightbreak	dàn	dàn	RTH1-L02	RSH1-L02	RTK1v5-L02	K = SH = TH	SH = TH	K key <> TH key	SH key = TH key		旦			FALSE
